name,tag
ACS,acs
Abengoa,abengoa
Atresmedia,atresmedia
Acerinox,acerinox
BBVA,bbva
Bankinter,bankinter
BME,bme
Acciona,acciona
Caixabank,caixabank
Enagás,enagás
FCC,fcc
Naturgy Energy,naturgy-energy
Siemens Gamesa,siemens-gamesa
Grifols,grifols
Ferrovial,ferrovial
Red Eléctrica,red-eléctrica
Inditex,inditex
Repsol,repsol
Iberdrola,iberdrola
Banco Popular,banco-popular
Indra,indra
Mapfre,mapfre
Telefónica,telefónica
Mediaset,mediaset
Sacyr,sacyr
Banco Sabadell,banco-sabadell
Santander,santander
Colonial,colonial
Técnicas Reunidas,técnicas-reunidas
OHL,ohl
IAG,iag
Ebro Foods,ebro-foods
Endesa,endesa
Amadeus,amadeus
Bankia,bankia
DIA,dia
Vértice 360,vértice-360
Rovi,rovi
GAM,gam
Solaria,solaria
Papeles Y Cartones,papeles-y-cartones
Airtificial Intelligence,airtificial-intelligence
Alantra Partners,alantra-partners
Alba SA,alba-sa
PRISA,prisa
Meliá Hotels,meliá-hotels
Empresarial San Jose,empresarial-san-jose
Nueva Expresion,nueva-expresion
Audax Renovables,audax-renovables
Adveo Group,adveo-group
Miquel y Costas,miquel-y-costas
Catalana Occidente,catalana-occidente
Service P.S.,service-p.s.
ENCE,ence
Construcciones y Auxiliar,construcciones-y-auxiliar
Urbas,urbas
Insur,insur
Quabit,quabit
Lingotes Especiales,lingotes-especiales
Iberpapel,iberpapel
Bodegas Riojanas,bodegas-riojanas
Adolfo Domínguez,adolfo-domínguez
Realia,realia
Nyesa Valores Corp,nyesa-valores-corp
Clínica Baviera,clínica-baviera
Reno De Medici,reno-de-medici
Nicolás Correa,nicolás-correa
Cie Automotive,cie-automotive
Renta 4,renta-4
Reig Jofre,reig-jofre
Ezentis,ezentis
Duro Felguera,duro-felguera
Zardoya,zardoya
Barón de Ley,barón-de-ley
Montebalito,montebalito
Metrovacesa,metrovacesa
NH Hoteles,nh-hoteles
Faes Farma,faes-farma
Tubos Reunidos,tubos-reunidos
Pescanova,pescanova
Grifols Pref,grifols-pref
Biosearch,biosearch
Viscofan,viscofan
Prosegur,prosegur
Almirall,almirall
Vocento,vocento
Vidrala,vidrala
Empresarial Materiales,empresarial-materiales
Tubacex,tubacex
Renta Corp.,renta-corp.
Fluidra,fluidra
Elecnor,elecnor
Azkoyen,azkoyen
Aperam,aperam
Sniace,sniace
Ercros,ercros
Codere,codere
Bayer,bayer
Natra,natra
Amper,amper
Airbus Group,airbus-group
Prim,prim
Deoleo,deoleo
ArcelorMittal,arcelormittal
Abengoa B,abengoa-b
Liberbank,liberbank
Ebioss Energy,ebioss-energy
Entrecampos Cuatro,entrecampos-cuatro
PETROBRAS PN,petrobras-pn
America Movil,america-movil
BRADESPAR ON,bradespar-on
BRADESPAR PN,bradespar-pn
BRASKEM PNA,braskem-pna
COPEL PNB,copel-pnb
ELETROBRAS ON,eletrobras-on
ELETROBRAS PNB,eletrobras-pnb
PETROBRAS ON,petrobras-on
USIMINAS ON,usiminas-on
USIMINAS PNA,usiminas-pna
VALE ON,vale-on
Alfa,alfa
Grupo Elektra,grupo-elektra
Grupo Financiero Banorte,grupo-financiero-banorte
TV Azteca Cpo,tv-azteca-cpo
Frances,frances
CEMIG PN,cemig-pn
BRADESCO PN EJ N1 ,bradesco-pn-ej-n1 
GERDAU PN N1,gerdau-pn-n1
Volcan,volcan
1nkemia IUCT SA,1nkemia-iuct-sa
Ab-Biotics,ab-biotics
Altia,altia
ADL Bionatur,adl-bionatur
Catenon,catenon
Euroespes,euroespes
Eurona,eurona
Griñó Ecologic,griñó-ecologic
Masmovil Ibercom,masmovil-ibercom
Imaginarium,imaginarium
Medcom Tech,medcom-tech
Neuron,neuron
Secuoya,secuoya
Zinkia,zinkia
eDreams,edreams
Lar España,lar-españa
Hispania,hispania
Applus,applus
Merlin Properties,merlin-properties
Facephi,facephi
Logista,logista
Cerbium,cerbium
Home Meal,home-meal
Aena,aena
Uro Property Holdings,uro-property-holdings
NBI Bearings Europe,nbi-bearings-europe
Naturhouse,naturhouse
Cellnex Telecom,cellnex-telecom
Talgo,talgo
Euskaltel SA,euskaltel-sa
Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
Grenergy Renovables SA,grenergy-renovables-sa
Inclam CO2 SA,inclam-co2-sa
Trajano Iberia Socimi SA,trajano-iberia-socimi-sa
Lleidanetworks Serveis Telematics,lleidanetworks-serveis-telematics
Autonomy Spain Real Estate Socimi S,autonomy-spain-real-estate-socimi-s
Obsido Socimi SA,obsido-socimi-sa
Pharma Mar,pharma-mar
Gigas Hosting SA,gigas-hosting-sa
Neol Biosolutions SA,neol-biosolutions-sa
Agile Content SA,agile-content-sa
Think Smart SA,think-smart-sa
Zambal Spain Socimi SA,zambal-spain-socimi-sa
Oryzon Genomics SA,oryzon-genomics-sa
Tecnoquark Trust SA,tecnoquark-trust-sa
Clerhp Estructuras,clerhp-estructuras
Corpfin Capital Prime Retail III,corpfin-capital-prime-retail-iii
Global Dominion,global-dominion
Telepizza,telepizza
Parques Reunidos,parques-reunidos
Jaba I Inversiones,jaba-i-inversiones
Corporacion Geo SAB,corporacion-geo-sab
Silvercode Investments,silvercode-investments
Coca-Cola European,coca-cola-european
Asturias Retail,asturias-retail
Vitruvio Real Estate,vitruvio-real-estate
Isc Fresh Water,isc-fresh-water
Quonia SOCIMI,quonia-socimi
Atrys Health,atrys-health
Voztelecom Oigaa360,voztelecom-oigaa360
GMP Property,gmp-property
Optimum Re Spain,optimum-re-spain
CommCenter,commcenter
ECG,ecg
Clever Global,clever-global
Mondo TV,mondo-tv
Pangaea Oncology,pangaea-oncology
VBARE Iberian Properties,vbare-iberian-properties
Ores Socimi,ores-socimi
Prosegur Cash,prosegur-cash
Neinor Homes,neinor-homes
Gestamp,gestamp
Optimum III Value Added,optimum-iii-value-added
Asturiana de Laminados,asturiana-de-laminados
Unicaja Banco,unicaja-banco
GGC,ggc
Numulae Gestion de Servicios,numulae-gestion-de-servicios
Borges Agricultural,borges-agricultural
AM Locales Property,am-locales-property
Grupo Ortiz,grupo-ortiz
Domo Activos,domo-activos
Aedas Homes,aedas-homes
Netex Knowledge,netex-knowledge
Greenalia,greenalia
Student Properties,student-properties
Heref Habaneras,heref-habaneras
Robot,robot
Tempore Properties,tempore-properties
Serrano 61 Desarrollo,serrano-61-desarrollo
Ap67 Socimi,ap67-socimi
Tier1,tier1
Torbel Investmentד,torbel-investmentד
Quid Pro Quo Alquiler,quid-pro-quo-alquiler
Excem Socimi,excem-socimi
Castellana Properties,castellana-properties
Testa Residencial,testa-residencial
Berkeley Energy,berkeley-energy
Alquiber Quality,alquiber-quality
Go Madrid Benz,go-madrid-benz
Arima Real Estate,arima-real-estate
Amrest,amrest
Atom Hoteles,atom-hoteles
Solarpack Corporacion Tecnologica,solarpack-corporacion-tecnologica
