title,country,id,name,full_name,tag,currency,group
Real Time Streaming Futures Quotes,,8830,Gold,Gold Futures,gold,USD,metals
Real Time Streaming Futures Quotes,united states,8831,Copper,Copper Futures,copper,USD,metals
Real Time Streaming Futures Quotes,,8836,Silver,Silver Futures,silver,USD,metals
Real Time Streaming Futures Quotes,united states,8883,Palladium,Palladium Futures,palladium,USD,metals
Real Time Streaming Futures Quotes,united states,8910,Platinum,Platinum Futures,platinum,USD,metals
Real Time Streaming Futures Quotes,united kingdom,49768,Aluminum,Aluminum Futures,aluminum,USD,metals
Real Time Streaming Futures Quotes,united kingdom,956470,Zinc,Zinc Futures,zinc?cid=956470,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959207,Lead,Lead Futures,lead?cid=959207,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959208,Nickel,Nickel Futures,nickel?cid=959208,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959209,Tin,Tin Futures,tin,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959211,Copper,Copper Futures,copper?cid=959211,USD,metals
EUREX Futures Market Quotes,euro zone,40818,Xetra-Gold,Xetra-Gold Futures,refined-gold?cid=40818,EUR,metals
MCX Futures Market Quotes,india,49767,MCX Aluminum Mini,Aluminum Mini Futures,aluminium-mini,INR,metals
MCX Futures Market Quotes,india,40015,MCX Aluminum,Aluminum Futures,aluminum?cid=40015,INR,metals
MCX Futures Market Quotes,india,49771,MCX Copper,Copper Futures,copper?cid=49771,INR,metals
MCX Futures Market Quotes,india,49772,MCX Copper Mini,Copper Mini Futures,copper-mini,INR,metals
MCX Futures Market Quotes,india,49776,MCX Gold 1 Kg,Gold 1 Kg,refined-gold?cid=49776,INR,metals
MCX Futures Market Quotes,india,49777,MCX Gold Guinea,Gold Guinea Futures,gold-guinea,INR,metals
MCX Futures Market Quotes,india,49778,MCX Gold Mini,Gold Mini Futures,gold-mini,INR,metals
MCX Futures Market Quotes,india,49779,MCX Gold Petal,Gold Petal Futures,gold-petal,INR,metals
MCX Futures Market Quotes,india,49780,MCX Gold Petal Del,Gold Petal (New Delhi) Futures,goldptldel,INR,metals
MCX Futures Market Quotes,india,49784,MCX Lead,Lead Futures,lead,INR,metals
MCX Futures Market Quotes,india,49796,MCX Lead Mini,Lead Mini Futures,lead-mini,INR,metals
MCX Futures Market Quotes,india,49788,MCX Nickel,Nickel Futures,nickel,INR,metals
MCX Futures Market Quotes,india,49789,MCX Nickel Mini,Nickel Mini Futures,nickel-mini,INR,metals
MCX Futures Market Quotes,india,49791,MCX Silver,Silver Futures,silver?cid=49791,INR,metals
MCX Futures Market Quotes,india,49792,MCX Silver Micro,Silver Micro Futures,silver-micro,INR,metals
MCX Futures Market Quotes,india,49793,MCX Silver Mini,Silver Mini Futures,silver-mini,INR,metals
MCX Futures Market Quotes,india,49794,MCX Zinc,Zinc Futures,zinc,INR,metals
MCX Futures Market Quotes,india,49795,MCX Zinc Mini,Zinc Mini Futures,zinc-mini,INR,metals
Real Time Streaming Futures Quotes,united states,8832,US Coffee C,US Coffee C Futures,us-coffee-c,USD,softs
Real Time Streaming Futures Quotes,united states,8851,US Cotton #2,US Cotton #2 Futures,us-cotton-no.2,USD,softs
Real Time Streaming Futures Quotes,united states,8869,US Sugar #11,US Sugar #11 Futures,us-sugar-no11,USD,softs
Real Time Streaming Futures Quotes,united states,8891,Orange Juice,Orange Juice Futures,orange-juice,USD,softs
Real Time Streaming Futures Quotes,united states,8894,US Cocoa,US Cocoa Futures,us-cocoa,USD,softs
Real Time Streaming Futures Quotes,united kingdom,8911,London Coffee,London Robusta Coffee Futures,london-coffee,USD,softs
Real Time Streaming Futures Quotes,united kingdom,8860,London Cocoa,London Cocoa Futures,london-cocoa,GBP,softs
Real Time Streaming Futures Quotes,united kingdom,8834,London Sugar,London Sugar Futures,london-sugar,USD,softs
Real Time Streaming Futures Quotes,united states,959198,Lumber,Lumber Futures,lumber,USD,softs
MCX Futures Market Quotes,india,49770,MCX Cardamom,Cardamom Futures,cardamom,INR,softs
MCX Futures Market Quotes,india,49773,MCX Cotton,Cotton 29mm Futures,cotton,INR,softs
MCX Futures Market Quotes,india,49775,MCX Crude Palm Oil,Crude Palm Oil Futures,crude-palm-oil,INR,softs
MCX Futures Market Quotes,india,49782,MCX Kapas,Kapas Futures,kapas,INR,softs
MCX Futures Market Quotes,india,49785,MCX Mentha Oil,Mentha Oil Futures,mentha-oil,INR,softs
MCX Futures Market Quotes,india,997362,MCX Castor Seed,Castor Seed Futures,castor-seed?cid=997362,INR,softs
Real Time Streaming Futures Quotes,united states,8914,Live Cattle,Live Cattle Futures,live-cattle,USD,meats
Real Time Streaming Futures Quotes,united states,8913,Lean Hogs,Lean Hogs Futures,lean-hogs,USD,meats
Real Time Streaming Futures Quotes,united states,961618,Feeder Cattle,Feeder Cattle Futures,feed-cattle,USD,meats
Real Time Streaming Futures Quotes,united kingdom,8833,Brent Oil,Brent Oil Futures,brent-oil,USD,energy
Real Time Streaming Futures Quotes,united states,8849,Crude Oil WTI,Crude Oil WTI Futures,crude-oil,USD,energy
Real Time Streaming Futures Quotes,united kingdom,8861,London Gas Oil,London Gas Oil Futures,london-gas-oil,USD,energy
Real Time Streaming Futures Quotes,united states,8862,Natural Gas,Natural Gas Futures,natural-gas,USD,energy
Real Time Streaming Futures Quotes,united states,8988,Heating Oil,Heating Oil Futures,heating-oil,USD,energy
Real Time Streaming Futures Quotes,united kingdom,8848,Carbon Emissions,Carbon Emissions Futures,carbon-emissions,EUR,energy
Real Time Streaming Futures Quotes,united states,954867,Gasoline RBOB,Gasoline RBOB Futures,gasoline-rbob,USD,energy
MCX Futures Market Quotes,india,49769,MCX Brent Oil,Brent Oil Futures,brent-oil?cid=49769,INR,energy
MCX Futures Market Quotes,india,49774,MCX Crude Oil WTI,Crude Oil WTI Futures,crude-oil?cid=49774,INR,energy
MCX Futures Market Quotes,india,49787,MCX Natural Gas,Natural Gas Futures,natural-gas?cid=49787,INR,energy
Real Time Streaming Futures Quotes,united kingdom,8912,London Wheat,London Wheat Futures,london-wheat,GBP,grains
Real Time Streaming Futures Quotes,united states,13916,Rough Rice,Rough Rice Futures,rough-rice,USD,grains
Real Time Streaming Futures Quotes,united states,8915,US Soybean Oil,US Soybean Oil Futures,us-soybean-oil,USD,grains
Real Time Streaming Futures Quotes,united states,8919,US Soybean Meal,US Soybean Meal Futures,us-soybean-meal,USD,grains
Real Time Streaming Futures Quotes,united states,8916,US Soybeans,US Soybeans Futures,us-soybeans,USD,grains
Real Time Streaming Futures Quotes,united states,8917,US Wheat,US Wheat Futures,us-wheat,USD,grains
Real Time Streaming Futures Quotes,united states,8918,US Corn,US Corn Futures,us-corn,USD,grains
Real Time Streaming Futures Quotes,united states,959199,Oats,Oats Futures,oats,USD,grains
