full_name,id,isin,name,tag
Actividades de Construcción y Servicios S.A.,442,ES0167050915,ACS,acs-cons-y-serv
Abengoa S.A.,443,ES0105200416,Abengoa,abengoa
Atresmedia Corp. de Medios de Com. S.A.,444,ES0109427734,Atresmedia,atresmedia
Acerinox S.A.,445,ES0132105018,Acerinox,acerinox
Banco Bilbao Vizcaya Argentaria S.A.,446,ES0113211835,BBVA,bbva
Bankinter S.A.,447,ES0113679I37,Bankinter,bankinter
Bolsas y Mercados Españoles,448,ES0115056139,BME,bolsas-y-mer-esp
Acciona S.A.,449,ES0125220311,Acciona,acciona-sa
CaixaBank S.A.,452,ES0140609019,CaixaBank,caixabank-sa
Enagás S.A.,453,ES0130960018,Enagás,enagas
Fomento de Construcciones y Contratas S.A.,455,ES0122060314,FCC,fcc
Naturgy Energy Group S.A.,456,ES0116870314,Naturgy Energy,gas-natural-sdg
Siemens Gamesa Renewable Energy S.A.,457,ES0143416115,Siemens Gamesa,gamesa
Grifols S.A.,458,ES0171996087,Grifols,grifols
Ferrovial S.A.,459,ES0118900010,Ferrovial,grupo-ferrovial
Red Eléctrica de España S.A.U,460,ES0173093024,Red Eléctrica,red-electrica
Industria de Diseño y Textil S.A.,461,ES0148396007,Inditex,inditex
Repsol S.A.,462,ES0173516115,Repsol,repsol-ypf
Iberdrola S.A.,463,ES0144580Y14,Iberdrola,iberdrola
Indra Sistemas S.A.,465,ES0118594417,Indra,indra-sistemas
Mapfre S.A.,466,ES0124244E34,Mapfre,mapfre
Telefónica S.A.,469,ES0178430E18,Telefónica,telefonica
Mediaset España Comunicación S.A.,471,ES0152503035,Mediaset,mediaset-esp
Sacyr SA,472,ES0182870214,Sacyr,sacyr-valle
Banco de Sabadell S.A.,473,ES0113860A34,Banco Sabadell,bco-de-sabadell
Banco Santander S.A.,474,ES0113900J37,Santander,banco-santander
Inmobiliaria Colonial S.A.,9060,ES0139140174,Colonial,inmob-colonial
Técnicas Reunidas S.A.,10526,ES0178165017,Técnicas Reunidas,tecnicas-reunidas
Obrascon Huarte Lain SA,13808,ES0142090317,OHL,ohl
International Consolidated Airlines Group SA,13809,ES0177542018,IAG,intl.-cons.-air-grp?cid=13809
Ebro Foods S.A.,13815,ES0112501012,Ebro Foods,ebro-foods
Endesa S.A.,13816,ES0130670112,Endesa,endesa
Amadeus IT Holding S.A.,14615,ES0109067019,Amadeus,amadeus
Bankia S.A.,14616,ES0113307062,Bankia,bankia
Distribuidora Internacional de Alimentación S.A.,18893,ES0126775032,DIA,dia
Vértice Trescientos Sesenta Grados SA,32176,ES0183304312,Vértice 360,vertice-trescientos-sesenta-grados
Laboratorios Farmaceuticos Rovi S.A.,32178,ES0157261019,Rovi,laboratorios-farmaceuticos-rovi-sa
General de Alquiler de Maquinaria SA,32179,ES0141571192,GAM,general-de-alquiler-de-maquinaria
Solaria Energia y Medio Ambiente S.A.,32180,ES0165386014,Solaria,solaria-energia-y-medio-ambiente
Airtificial Intelligence Structures SA,32184,ES0152768612,Airtificial Intelligence,inypsa-informes-y-proyectos-sa
Alantra Partners SA,32185,ES0126501131,Alantra Partners,dinamia-capital-privado-scr-sa
Corporación Financiera Alba S.A.,32186,ES0117160111,Alba SA,corporacion-financiera-alba-sa
Promotora de Informaciones SA,32187,ES0171743901,Promotora Informaciones,prisa
Meliá Hotels International S.A.,32188,ES0176252718,Meliá Hotels,melia-hotels-international-sa
Grupo Empresarial San Jose SA,32189,ES0180918015,Empresarial San Jose,grupo-empresarial-san-jose-sa
Nueva Expresion Textil SA,32190,ES0126962069,Nueva Expresion,dogi-international-fabrics-sa
Audax Renovables SA,32191,ES0136463017,Audax Renovables,fersa-energias-renovables-sa
Miquel y Costas & Miquel S.A.,32195,ES0164180012,Miquel y Costas,iquel-y-costas---miquel-sa
Grupo Catalana de Occidente S.A.,32196,ES0116920333,Catalana Occidente,grupo-catalana-occidente-sa
Service Point Solutions SA,32197,ES0143421073,Service P.S.,service-point-solutions-sa
ENCE Energia y Celulosa SA,32198,ES0130625512,ENCE,ence-energia-y-celulosa-sa
Construcciones y Auxiliar de Ferrocarriles SA,32199,ES0121975009,Construcciones y Auxiliar,auxiliar-de-ferrocarriles
Urbas Grupo Financiero S.A.,32200,ES0182280018,Urbas,urbas-grupo-financiero-sa
Inmobiliaria del Sur S.A.,32203,ES0154653911,Insur,inmobiliaria-del-sur-sa
Quabit Inmobiliaria S.A.,32207,ES0110944172,Quabit,quabit-inmobiliaria-sa
Lingotes Especiales S.A.,32208,ES0158480311,Lingotes Especiales,lingotes-especiales-sa
Iberpapel Gestion S.A.,32218,ES0147561015,Iberpapel,iberpapel-gestion-sa
Bodegas Riojanas S.A.,32224,ES0115002018,Bodegas Riojanas,bodegas-riojanas-sa
Adolfo Domínguez S.A.,32225,ES0106000013,Adolfo Domínguez,adolfo-dominguez-sa
Realia Business S.A.,32227,ES0173908015,Realia,realia-business-sa
Nyesa Valores Corporacion SA,32228,ES0150480111,Nyesa Valores Corp,nyesa-valores-corp
Clínica Baviera S.A.,32229,ES0119037010,Clínica Baviera,clinica-baviera-sa
Reno De Medici MC,32230,IT0001178299,Reno De Medici,reno-de-medici-spa?cid=32230
Nicolás Correa S.A.,32231,ES0166300212,Nicolás Correa,nicolas-correa-sa
CIE Automotive S.A.,32232,ES0105630315,Cie Automotive,cie-automotive-sa
Renta 4 Banco S.A.,32235,ES0173358039,Renta 4,renta-4-banco-sa
Laboratorio Reig Jofre SA,32236,ES0165359029,Reig Jofre,natraceutical-sa
Grupo Ezentis S.A.,32237,ES0172708234,Ezentis,grupo-ezentis-sa
Duro Felguera S.A.,32238,ES0162600417,Duro Felguera,duro-felguera-sa
Zardoya Otis S.A.,32244,ES0184933812,Zardoya,zardoya-otis-sa
Barón de Ley S.A.,32245,ES0114297015,Barón de Ley,baron-de-ley-sa
Montebalito S.A.,32249,ES0116494016,Montebalito,montebalito-sa
Metrovacesa SA,32250,ES0105122024,Metrovacesa,metrovacesa-sa
NH Hotel Group S.A.,32256,ES0161560018,NH Hoteles,nh-hoteles-sa
Faes Farma SA,32258,ES0134950F36,Faes Farma,faes-farma-sa
Tubos Reunidos S.A.,32264,ES0180850416,Tubos Reunidos,tubos-reunid
Pescanova SA,32265,ES0169350016,Pescanova,pescanova-sa
Grifols SA Pref,32266,ES0171996095,Grifols Pref,grifols-sa-b
Biosearch S.A.,32268,ES0172233118,Biosearch,biosearch-sa
Viscofan S.A.,32274,ES0184262212,Viscofan,viscofan-sa
"Prosegur, Cia. De Seguridad S.A.",32276,ES0175438003,Prosegur,prosegur-sa
Almirall S.A.,32279,ES0157097017,Almirall,almirall-sa
Vocento S.A.,32280,ES0114820113,Vocento,vocento-sa
Vidrala S.A.,32281,ES0183746314,Vidrala,vidrala-sa
Corporacion Empresarial de Materiales de Construccion SA,32282,ES0182170003,Empresarial Materiales,uralita-sa
Tubacex S.A.,32283,ES0132945017,Tubacex,tubacex-sa
Renta Corporación Real Estate S.A.,32284,ES0173365018,Renta Corp.,renta-corp
Fluidra S.A.,32285,ES0137650018,Fluidra,fluidra-sa
Elecnor S.A.,32286,ES0129743318,Elecnor,elecnor-sa
Azkoyen S.A.,32287,ES0112458312,Azkoyen,azkoyen-sa
Aperam MC,32288,LU0569974404,Aperam,aperam?cid=32288
Sniace,32291,ES0165380017,Sniace,sniace-sa
Ercros S.A.,32292,ES0125140A14,Ercros,ercros-sa
Codere SA,32293,ES0119256032,Codere,codere-sa
BAYER MC,32295,DE000BAY0017,Bayer,bayer-ag?cid=32295
Natra S.A.,32299,ES0165515117,Natra,natra-sa
Amper S.A.,32301,ES0109260531,Amper,amper-sa
Airbus Group,32302,NL0000235190,Airbus Group,eads?cid=32302
Prim S.A.,32303,ES0170884417,Prim,prim-sa
Deoleo S.A.,32305,ES0110047919,Deoleo,deoleo
ArcelorMittal SA,32439,LU1598757687,ArcelorMittal,arcelormittal-reg?cid=32439
Abengoa S.A. B,40331,ES0105200002,Abengoa B,abengoa-b
Liberbank S.A.,40902,ES0168675090,Liberbank,liberbank-sa
Ebioss Energy AD,44452,BG1100005179,Ebioss Energy,ebioss-energy-ad-sofia
Entrecampos Cuatro Socimi S.A.,44453,ES0131172001,Entrecampos Cuatro,entre-cua-socimi
Petrobras PN LA,48594,BRPETRACNPR6,PETROBRAS PN,petrobras-pn?cid=48594
America Movil LA,48595,MXP001691213,America Movil,america-movil-l?cid=48595
Bradespar,48597,BRBRAPACNOR5,BRADESPAR ON,bradespar-on-n1?cid=48597
Bradespar Pref,48598,BRBRAPACNPR2,BRADESPAR PN,bradespar-pn-n1?cid=48598
Braskem Pref A,48599,BRBRKMACNPA4,BRASKEM PNA,braskem-pna-n1?cid=48599
Copel Pref B,48600,BRCPLEACNPB9,COPEL PNB,copel-pnb?cid=48600
Eletrobras,48601,BRELETACNOR6,ELETROBRAS ON,eletrobras-on?cid=48601
Eletrobras Pr,48602,BRELETACNPB7,ELETROBRAS PNB,eletrobras-pnb?cid=48602
Petrobras ON LA,48603,BRPETRACNOR9,PETROBRAS ON,petrobras-on?cid=48603
Usiminas,48604,BRUSIMACNOR3,USIMINAS ON,usiminas-on?cid=48604
Usiminas Pna LA,48605,BRUSIMACNPA6,USIMINAS PNA,usiminas-pna?cid=48605
Vale SA,48606,BRVALEACNOR0,VALE ON,vale-on-n1?cid=48606
Gpo Alfa A,48607,MXP000511016,Alfa,alfa-a?cid=48607
Grupo Elektra,48608,MX01EL000003,Grupo Elektra,elektra?cid=48608
Grupo Banorte,48609,MXP370711014,Grupo Financiero Banorte,financiero-banorte?cid=48609
TV Azteca Cpo LA,48611,MX01AZ060013,TV Azteca Cpo,tv-azteca-cpo?cid=48611
Bbva Bco Franc,48612,ARP125991090,Frances,frances?cid=48612
CEMIG - Companhia Energetica Minas Gerais Pref,48613,BRCMIGACNPR3,CEMIG PN,cemig-pn-n1?cid=48613
Banco Bradesco SA Pref,48614,BRBBDCACNPR8,BRADESCO PN EJ N1 ,bradesco-pn-n1?cid=48614
Gerdau SA Pref,48615,BRGGBRACNPR8,GERDAU PN N1,gerdau-pn-n1?cid=48615
Volcan Compañía Minera S.A.A.,48618,PEP648014202,Volcan,volcan-cmp-min
1nkemia IUCT Group SA,49930,ES0156303002,1nkemia IUCT SA,1nkemia-iuct-group-s.a.
Ab-Biotics S.A.,49931,ES0109659013,Ab-Biotics,ab-biotics-s.a.
Altia Consultores S.A.,49932,ES0113312005,Altia,altia-consultores-s.a.
ADL Bionatur Solutions SA,49933,ES0184980003,ADL Bionatur,bionaturis
Catenon S.A.,49936,ES0112320009,Catenon,catenon-s.a.
Euroespes S.A.,49937,ES0133421000,Euroespes,euroespes-s.a.
Eurona Wireless Telecom S.A.,49938,ES0133443004,Eurona,eurona-wireless-telecom-s.a.
Griñó Ecologic S.A.,49939,ES0143328005,Griñó Ecologic,grino-ecologic-s.a.
Masmovil Ibercom SA,49940,ES0184696104,Masmovil Ibercom,world-wide-web-ibercom-s.a.
Imaginarium S.A.,49941,ES0147791018,Imaginarium,imaginarium-s.a.
Medcom Tech S.A.,49942,ES0161857018,Medcom Tech,medcom-tech-s.a.
Neuron Biopharma S.A.,49943,ES0166198012,Neuron,neuron-bio-s.a.
Secuoya Grupo de Comunicacion S.A.,49944,ES0131703003,Secuoya,secuoya-grupo-de-comunicacion-s.a.
eDreams Odigeo S.A.,100241,LU1048328220,eDreams,edreams-odigeo-sa
Lar España Real Estate Socimi S.A.,100242,ES0105015012,Lar España,lar-espana-real-estate-socimi-sa
Applus Services S.A.,101934,ES0105022000,Applus,applus-services-sa
Merlin Properties Socimi S.A.,102931,ES0105025003,Merlin Properties,merlin-properties-sa
Facephi Biometria S.A.,103907,ES0105029005,Facephi,facephi-biometria-sa
Logista,104388,ES0105027009,Logista,logista
Cerbium Holding SA,940784,ES0105038006,Cerbium,only-apartments-sa
Home Meal,942718,ES0105049003,Home Meal,home-meal
AENA SME S.A.,945627,ES0105046009,Aena,aena-aeropuertos-sa
Uro Property Holdings,946356,ES0105059002,Uro Property Holdings,uro-property-holdings
NBI Bearings Europe SA,949224,ES0105062022,NBI Bearings Europe,nbi-bearings-europe-s.a.
Naturhouse Health SA,949749,ES0105043006,Naturhouse,naturhouse-health-sa
Cellnex Telecom S.A.,951681,ES0105066007,Cellnex Telecom,cellnex-telecom
Talgo SA,951682,ES0105065009,Talgo,talgo
Euskaltel SA,955670,ES0105075008,Euskaltel SA,euskaltel-sa
Fidere Patrimonio SOCIMI SA,955671,ES0105071007,Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
Grenergy Renovables SA,955882,ES0105079000,Grenergy Renovables SA,grenergy-renovables-sa
Inclam CO2 SA,958276,ES0105083002,Inclam CO2 SA,inclam-co2-sa
Trajano Iberia Socimi SA,958277,ES0105077004,Trajano Iberia Socimi SA,trajano-iberia-socimi-sa
Lleidanetworks Serveis Telematics SA,958860,ES0105089009,Lleidanetworks Serveis Telematics,lleidanetworks-serveis-telematics
Autonomy Spain Real Estate Socimi SA,958861,ES0105090007,Autonomy Spain Real Estate Socimi S,autonomy-spain-real-estate-socimi-s
Obsido Socimi SA,958862,ES0105074001,Obsido Socimi SA,obsido-socimi-sa
PharmaMar S.A.,959215,ES0169501030,PharmaMar,pharma-mar-sau
Gigas Hosting SA,960710,ES0105093001,Gigas Hosting SA,gigas-hosting-sa
Neol Biosolutions SA,960711,ES0105081006,Neol Biosolutions SA,neol-biosolutions-sa
Agile Content SA,961658,ES0105102000,Agile Content SA,agile-content-sa
Zambal Spain Socimi SA,961773,ES0105080008,Zambal Spain Socimi SA,zambal-spain-socimi-sa
Oryzon Genomics SA,962024,ES0167733015,Oryzon Genomics,oryzon-genomics-sa
Tecnoquark Trust SA,962349,ES0105076006,Tecnoquark Trust SA,tecnoquark-trust-sa
Clerhp Estructuras SA,968993,ES0105121000,Clerhp Estructuras,clerhp-estructuras-sa
Corpfin Capital Prime Retail III SOCIMI SA,976081,ES0105111001,Corpfin Capital Prime Retail III,corpfin-capital-prime-retail-iii-so
Global Dominion Access SA,976471,ES0105130001,Global Dominion,global-dominion-access-sa
Telepizza Group SA,976472,ES0105128005,Telepizza,telepizza-group-sa
Parques Reunidos SERVICIOS CENTRALES SAU,976553,ES0105131009,Parques Reunidos,parques-reunidos-servicios
Jaba I Inversiones Inmobiliarias Socimi SA,977685,ES0105098000,Jaba I Inversiones,jaba-i-inversiones-inmobiliarias-so
Silvercode Investments SOCIMI SA,980156,ES0105133005,Silvercode Investments,silvercode-investments-socimi-sa
Coca-Cola European Partners PLC,980157,GB00BDCPN049,Coca-Cola European,coca-cola-ent?cid=980157
Asturias Retail and Leisure SOCIMI SAU,985714,ES0105127007,Asturias Retail,brookfield-business-partners-lp
Vitruvio Real Estate Socimi,985794,ES0105139002,Vitruvio Real Estate,vitruvio-real-estate
Isc Fresh Water Investment SOCIMI SA,985943,ES0105153003,Isc Fresh Water,isc-fresh-water-investment-socimi
Quonia SOCIMI SA,985944,ES0105150009,Quonia SOCIMI,quonia-socimi-sa
Atrys Health SL,985976,ES0105148003,Atrys Health,atrys-health-sl
Voztelecom Oigaa360 SA,986094,ES0105156006,Voztelecom Oigaa360,voztelecom-oigaa360-sa
GMP Property SOCIMI SA,986096,ES0105134011,GMP Property,gmp-property-socimi-sa
Optimum Re Spain Socimi SA,990008,ES0105174009,Optimum Re Spain,optimum-re-spain-socimi-sa
CommCenter SA,993678,ES0121071007,CommCenter,commcenter-sa
Euroconsult Engineering Consulting Group SA,993679,ES0105042008,ECG,euroconsult-engineering-consulting
Clever Global SA,994270,ES0105152005,Clever Global,clever-global-sa
Mondo TV Iberoamerica SA,994271,ES0105216008,Mondo TV,mondo-tv-iberoamerica-sa
Pangaea Oncology SA,994484,ES0105221008,Pangaea Oncology,pangaea-oncology-sa
VBARE Iberian Properties SOCIMI SA,994781,ES0105196002,VBARE Iberian Properties,vbare-iberian-properties-socimi-sa
Olimpo Real Estate SA,996540,ES0105224002,Ores Socimi,olimpo-real-estate-sa
Prosegur Cash SA,997807,ES0105229001,Prosegur Cash,prosegur-cash-sa
Neinor Homes SLU,999061,ES0105251005,Neinor Homes,neinor-homes-slu
Gestamp Automocion SA,1006174,ES0105223004,Gestamp,gestamp-automocion-sa
Optimum III Value Added Residential SOCIMI SA,1010687,ES0105219002,Optimum III Value Added,optimum-iii-value-added-residential
Asturiana de Laminados SA,1013384,ES0105227005,Asturiana de Laminados,asturiana-de-laminados-sa
Unicaja Banco SA,1013395,ES0180907000,Unicaja Banco,unicaja-banco-sa
General De Galerias Comerciales SOCIMI SA,1024614,ES0105195004,GGC,general-de-galerias-comerciales
Numulae Gestion de Servicios SL,1025089,ES0105265005,Numulae Gestion de Servicios,numulae-gestion-de-servicios
Borges Agricultural & Industrial Nuts SA,1025131,ES0105271011,Borges Agricultural,borges-agricultural-industrial-nuts
AM Locales Property Socimi,1029197,ES0105272001,AM Locales Property,am-locales-property
Grupo Ortiz Properties Socimi,1030978,ES0105273009,Grupo Ortiz,grupo-ortiz
Domo Activos Socimi SA,1050163,ES0105283008,Domo Activos,domo-activos
Aedas Homes SL,1052410,ES0105287009,Aedas Homes,aedas-homes-sl
Netex Knowledge Factory SL,1053093,ES0105270005,Netex Knowledge,netex-knoledge-factory
Greenalia,1055914,ES0105293007,Greenalia,greenalia
Prevision Sanitaria Nacional Gestion SOCIMI SA,1057007,ES0170756037,Prevision Sanitaria,prevision-sanitaria-nacional
Student Properties Spain SOCIMI SA,1057278,ES0105294005,Student Properties,student-properties
Heref Habaneras SOCIMI SA,1061411,ES0105103008,Heref Habaneras,heref-habaneras
Robot,1067156,ES0105225009,Robot,robot
Tempore Properties Socimi,1073101,ES0105323002,Tempore Properties,tempore-properties-socimi
Serrano 61 Desarrollo Socimi,1073221,ES0105317004,Serrano 61 Desarrollo,serrano-61-desarrollo-socimi
Ap67 Socimi,1076567,ES0105325007,Ap67 Socimi,ap67-socimi
Tier1 Technology S.A.,1084842,ES0105344008,Tier1,tier-1-technology
Torbel Investments 2015 Socimi SA,1087966,ES0105358008,Torbel Investmentד,torbel-investments-2015-socimi
Quid Pro Quo Alquiler Seguro Socimi,1088135,ES0105357000,Quid Pro Quo Alquiler,quid-pro-quo-alquiler-seguro-socimi
Excem Capital Partners Sociedad de Inversión Residencial,1089239,ES0105367009,Excem Socimi,excem-capital-partners-sociedad
Castellana Properties Socimi,1089443,ES0105360004,Castellana Properties,castellana-properties-socimi
Testa Residencial Socimi,1089467,ES0105210019,Testa Residencial,testa-residencial-socimi
Berkeley Energia Ltd,1093905,AU000000BKY0,Berkeley Energy,berkeley-resources-limited?cid=1093905
Alquiber Quality SA,1093991,ES0105366001,Alquiber Quality,alquiber-quality
Go Madrid Benz Socimi SA,1096060,ES0105354007,Go Madrid Benz,go-madrid-benz
Arima Real Estate SOCIMI SA,1107547,ES0105376000,Arima Real Estate,arima-real-estate
Amrest Holdings SE,1111709,ES0105375002,Amrest,amrest-holdings-se?cid=1111709
Atom Hoteles Socimi,1112818,ES0105318002,Atom Hoteles,atom-hoteles-socimi
Solarpack Corporacion Tecnologica SA,1115133,ES0105385001,Solarpack,solarpack-corporacion-tecnologica
Arrienda Rental Properties SOCIMI SA,1116351,ES0105383006,Arrienda Rental,arrienda-rental
Vivenio Residencial Socimi SA,1116352,ES0105384004,Vivenio Residencial,vivenio-residencial
Almagro Capital Socimi,1117970,ES0105389003,Almagro Capital,almagro-capital-socimi
Inmobiliaria Park Rose Iberoamericana SOCIMI SA,1118084,ES0105391009,Inmobiliaria Park Rose,inmobiliaria-park-rose
Euripo Properties Socimi,1122284,ES0105387007,Euripo Properties,euripo-properties-socimi
Proeduca Altus SA,1123486,ES0105400008,Proeduca Altus,proeduca-altus
Meridia Real Estate III Socimi SA,1123955,ES0105313003,Meridia RE III,meridia-re-iii
Iffe Futura SA,1123956,ES0171613005,Iffe Futura,iffe-futura
Compania Espanola de Viviendas en Alquiler SA,1130889,ES0132955008,Viviendas en Alquiler,viviendas-en-alquiler
